RunNr,RunType,HitscoreThreshold,MultiscoreThreshold,PhotonEnergyEV,PnCCDRescaleQ1AC0,PnCCDRescaleQ1AC1,PnCCDRescaleQ1AC2,PnCCDRescaleQ1AC3,PnCCDDX,PnCCDDY,PnCCDYGAP
155,Holography,60000,-1,802,1,1,1,1,42,-3,12
156,Dark,-1,-1,802,1,1,1,1,42,-3,12
157,Holography,60000,-1,802,1,1,1,1,42,-3,12
158,Holography,60000,-1,802,1,1,1,1,42,-3,12
159,Void,-1,-1,802,1,1,1,1,42,-3,12
160,Holography,60000,-1,802,1,1,1,1,42,-3,12
161,Holography,60000,-1,802,1,1,1,1,42,-3,12
162,Holography,60000,-1,802,1,1,1,1,42,-3,12
163,Holography,60000,-1,802,1,1,1,1,42,-3,12
164,Holography,60000,-1,802,1,1,1,1,24,-3,12
165,Holography,60000,-1,802,1,1,1,1,42,-3,12
166,Holography,60000,-1,802,1,1,1,1,42,-3,12
167,Holography,60000,-1,802,1,1,1,1,42,-3,12
168,Holography,60000,-1,802,1,1,1,1,42,-3,12
169,Holography,60000,-1,802,1,1,1,1,42,-3,12
170,Holography,60000,-1,802,1,1,1,1,42,-3,12
171,Holography,60000,-1,802,1,1,1,1,42,-3,12
172,Holography,60000,-1,802,1,1,1,1,42,-3,12
173,Holography,60000,-1,802,1,1,1,1,42,-3,12
174,Holography,60000,-1,802,1,1,1,1,42,-3,12
175,Holography,60000,-1,802,1,1,1,1,42,-3,12
176,Holography,60000,-1,802,1,1,1,1,42,-3,12
177,Holography,60000,-1,802,1,1,1,1,42,-3,12
178,Holography,60000,-1,802,1,1,1,1,42,-3,12
179,Holography,30000,-1,802,1,1,1,1,42,-3,12
180,Holography,30000,-1,802,1,1,1,1,42,-3,12
181,Holography,30000,-1,802,1,1,1,1,42,-3,12
182,Holography,30000,-1,802,1,1,1,1,42,-3,12
183,Holography,30000,-1,802,1,1,1,1,42,-3,12
184,Holography,30000,-1,802,1,1,1,1,42,-3,12
185,Holography,30000,-1,802,1,1,1,1,42,-3,12
186,Void,-1,-1,802,1,1,1,1,42,-3,12
187,Holography,100000,-1,802,1,1,1,1,42,-3,12
188,Holography,100000,-1,802,1,1,1,1,42,-3,12
189,Sample,100000,-1,802,1,1,1,1,42,-3,12
190,Holography,100000,-1,802,1,1,1,1,42,-3,12
191,Holography,100000,-1,802,1,1,1,1,42,-3,12
192,Holography,100000,-1,802,1,1,1,1,42,-3,12
193,Holography,100000,-1,802,1,1,1,1,42,-3,12
194,Holography,100000,-1,802,1,1,1,1,42,-3,12
195,Holography,100000,-1,802,1,1,1,1,42,-3,12
196,Holography,100000,-1,802,1,1,1,1,42,-3,12
197,Holography,100000,-1,802,1,1,1,1,42,-3,12
198,Dark,-1,-1,802,1,1,1,1,42,-3,12
199,Holography,-1,-1,802,1,1,1,1,42,-3,12
200,Holography,-1,-1,802,1,1,1,1,42,-3,12
202,Holography,-1,-1,802,1,1,1,1,42,-3,12
203,Void,-1,-1,802,1,1,1,1,42,-3,12
204,Holography,-1,-1,802,1,1,1,1,42,-3,12
205,Holography,-1,-1,802,1,1,1,1,42,-3,12
206,Holography,100000,-1,802,1,1,1,1,42,-3,12
207,Holography,100000,-1,802,1,1,1,1,42,-3,12
208,Holography,100000,-1,802,1,1,1,1,42,-3,12
209,Holography,100000,-1,802,1,1,1,1,42,-3,12
210,Holography,100000,-1,802,1,1,1,1,42,-3,12
211,Holography,100000,-1,802,1,1,1,1,42,-3,12
212,Holography,100000,-1,802,1,1,1,1,42,-3,12
213,Holography,100000,-1,802,1,1,1,1,42,-3,12
214,Holography,100000,-1,802,1,1,1,1,42,-3,12
215,Holography,100000,-1,802,1,1,1,1,42,-3,12
216,Holography,100000,-1,802,1,1,1,1,42,-3,12
217,Holography,100000,-1,802,1,1,1,1,42,-3,12
218,Void,-1,-1,802,1,1,1,1,42,-3,12
219,Holography,100000,-1,802,1,1,1,1,42,-3,12
220,Holography,-1,-1,802,1,1,1,1,42,-3,12
221,Holography,-1,-1,802,1,1,1,1,42,-3,12
222,Holography,-1,-1,802,1,1,1,1,42,-3,12
223,Holography,-1,-1,802,1,1,1,1,42,-3,12
224,Holography,-1,-1,802,1,1,1,1,42,-3,12
225,Holography,-1,-1,802,1,1,1,1,42,-3,12
226,Holography,-1,-1,802,1,1,1,1,42,-3,12
227,Holography,-1,-1,802,1,1,1,1,42,-3,12
228,Holography,-1,-1,802,1,1,1,1,42,-3,12
229,Holography,-1,-1,802,1,1,1,1,42,-3,12
230,Holography,-1,-1,802,1,1,1,1,42,-3,12
231,Void,-1,-1,802,1,1,1,1,42,-3,12
232,Background,-1,-1,802,1,1,1,1,42,-3,12
233,Dark,-1,-1,802,1,1,1,1,42,-3,12
